crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,120,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,121,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,120,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,120,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,138,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,120,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,121,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,135,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,177,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,121,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,135,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,138,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,135,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,121,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,135,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,85,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,115,25,4,12.5,2,49.5,2,4
553.661,444.3,298.679,20.458,60,25,4,12.5,2,49.5,2,4
77.27,41.4,42.932,5.731,208,23,3,9,1,50.5,8,3
77.27,41.4,42.932,5.731,108,23,3,9,1,50.5,8,3
77.27,41.4,42.932,5.731,108,23,3,9,1,50.5,8,3
46.031,33,28.56,2.366,104,20,3,12,2,35.5,1,1
40.311,33,32.577,0,85,24,2,9,0,50.2,12,3
40.311,33,32.577,0,85,24,2,9,0,50.2,12,3
40.311,33,32.577,0,85,24,2,9,0,50.2,12,3
63.733,52,33.866,2.752,85,28,4,12.5,0,45.7,10,3
63.733,52,33.866,2.752,153,28,4,12.5,0,45.7,10,3
63.733,52,33.866,2.752,153,28,4,12.5,0,45.7,10,3
101.633,0,52.989,0,85,51,11,12,1,249.6,0,1
101.633,0,52.989,0,85,51,11,12,1,249.6,0,1
46.318,42,20.412,4.129,60,46,11,12,4,241.9,3,1
46.318,42,20.412,4.129,60,46,11,12,4,241.9,3,1
46.318,42,20.412,4.129,60,46,11,12,4,241.9,3,1
46.318,42,20.412,4.129,60,46,11,12,4,241.9,3,1
46.318,42,20.412,4.129,60,46,11,12,4,241.9,3,1
117.075,99.5,58.941,46.588,75,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,85,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,75,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,85,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,75,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,75,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,60,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,60,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,85,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,85,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,60,46,11,12,6,211.8,3,1
117.075,99.5,58.941,46.588,75,46,11,12,6,211.8,3,1
133.346,0,70.586,0,75,40,10,12,4,204.4,2,0
133.346,0,70.586,0,85,40,10,12,4,204.4,2,0
133.346,0,70.586,0,85,40,10,12,4,204.4,2,0
133.346,0,70.586,0,85,40,10,12,4,204.4,2,0
133.346,0,70.586,0,85,40,10,12,4,204.4,2,0
133.346,0,70.586,0,60,40,10,12,4,204.4,2,0
133.346,0,70.586,0,75,40,10,12,4,204.4,2,0
133.346,0,70.586,0,60,40,10,12,4,204.4,2,0
133.346,0,70.586,0,75,40,10,12,4,204.4,2,0
133.346,0,70.586,0,75,40,10,12,4,204.4,2,0
133.346,0,70.586,0,85,40,10,12,4,204.4,2,0
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,102,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,102,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,60,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
125.459,95,63.104,0,85,44,9,12.5,4,67.1,2,5
46.031,33,28.56,2.366,60,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,60,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,49,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,84,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,84,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,60,36,9,12.5,2,35.5,1,1
46.031,33,28.56,2.366,60,36,9,12.5,2,35.5,1,1
86.439,72,59.106,6.395,98,36,9,12.5,3,26.6,1,4
86.439,72,59.106,6.395,98,36,9,12.5,3,26.6,1,4
86.439,72,59.106,6.395,98,36,9,12.5,3,26.6,1,4
86.439,72,59.106,6.395,98,36,9,12.5,3,26.6,1,4
86.439,72,59.106,6.395,129,36,9,12.5,3,26.6,1,4
67.93,48.8,47.803,0,40,36,9,12.5,15,44.1,7,20
67.93,48.8,47.803,0,50,36,9,12.5,15,44.1,7,20
